id,name,category,region,description,description_es,address,city,phone,email,website,notes,notes_es
167,Kentucky Civil Rights Restoration Program,Legal Aid,Statewide,"Restores voting rights to Kentuckians convicted of non-violent felonies who have completed their full sentence (including probation and parole). Those with violent felony convictions must petition the Governor separately. Free application, takes up to 12 weeks to process.","Restaura los derechos de voto a los ciudadanos de Kentucky condenados por delitos graves no violentos que han completado su sentencia completa (incluyendo libertad condicional y vigilada). Los que tienen condenas por delitos graves violentos deben solicitar al Gobernador por separado. Solicitud gratuita, tarda hasta 12 semanas en procesarse.",,,(502) 782-9731,CivilRights.Restoration@ky.gov,https://civilrightsrestoration.ky.gov,,
168,Kentucky Equal Justice Center,Legal Aid,Statewide,"Poverty law advocacy organization involved in voter registration drives for returning citizens. Provides legal help for low-income Kentuckians facing systemic barriers, including licensing and housing issues.","Organización de defensa de la ley de pobreza involucrada en campañas de registro de votantes para ciudadanos que regresan. Proporciona ayuda legal para ciudadanos de Kentucky de bajos ingresos que enfrentan barreras sistémicas, incluidos problemas de licencias y vivienda.","201 West Short Street, Suite 310",Lexington,,,https://kyequaljustice.org,,
169,Jefferson County Drug Court — Louisville,Legal Aid,Louisville / Jefferson County,"Alternative sentencing program for non-violent offenders with substance use disorder. Felony track minimum 18 months. Entry through diversion, probation, or probation revocation referral. Access through a judge, prosecutor, defense attorney, or probation officer.","Programa de sentencias alternativas para infractores no violentos con trastorno por uso de sustancias. La pista de delitos graves tiene un mínimo de 18 meses. Acceso a través de un juez, fiscal, defensor o agente de libertad condicional.",700 West Jefferson Street,Louisville,,,,Referral required through court system,
170,Louisville Veterans Treatment Court,Legal Aid,Louisville / Jefferson County,"Kentucky's first Veterans Treatment Court, launched 2012. Voluntary program for veterans with substance use or serious mental illness charges. Requires regular court appearances and treatment compliance. Contact the Robley Rex VA VJO team or your attorney for referral.","El primer Tribunal de Tratamiento para Veteranos de Kentucky, lanzado en 2012. Programa voluntario para veteranos con cargos por uso de sustancias o enfermedades mentales graves. Requiere comparecencias regulares ante el tribunal y cumplimiento del tratamiento. Comuníquese con el equipo VJO del VA Robley Rex o su abogado para una referencia.",700 West Jefferson Street,Louisville,,,,"VA referral: (502) 287-4000, ask for VJO/Mental Health",
171,Fayette County Drug Courts — Lexington,Legal Aid,Lexington / Fayette County,Four certified Drug Court programs in Fayette County serving residents with substance use disorder as an alternative to incarceration. Access through the court system.,Cuatro programas certificados de Tribunal de Drogas en el Condado de Fayette que atienden a residentes con trastorno por uso de sustancias como alternativa al encarcelamiento. El acceso es a través del sistema judicial.,163 West Short Street,Lexington,(859) 254-4941,,https://fayettecountyattorney.com/services/specialty-courts,,
172,Kentucky Court of Justice — Specialty Courts Directory,Legal Aid,Statewide,"Statewide directory of all Drug Courts, Veterans Treatment Courts, Mental Health Courts, and Family Recovery Courts across all 120 Kentucky counties. Find your county's specialty court options here.","Directorio estatal de todos los Tribunales de Drogas, Tribunales de Tratamiento para Veteranos, Tribunales de Salud Mental y Tribunales de Recuperación Familiar en los 120 condados de Kentucky. Encuentre aquí las opciones del tribunal especial de su condado.",,,,,https://kycourts.gov/Court-Programs/Specialty-Courts,,
180,Kentucky SNAP Enrollment — kynect,Food & Nutrition,Statewide,"Apply for SNAP (food assistance) through the kynect portal online, by phone, or at any DCBS office. Kentucky does not automatically disqualify people with drug felony convictions from SNAP. Applications accepted in all 120 counties.","Solicite SNAP (asistencia alimentaria) a través del portal kynect en línea, por teléfono o en cualquier oficina del DCBS. Kentucky no descalifica automáticamente a personas con condenas por delitos de drogas del SNAP. Solicitudes aceptadas en los 120 condados.",,,1-855-306-8959,,https://kynect.ky.gov,,
181,Dare to Care Food Bank — Louisville,Food & Nutrition,Louisville / Jefferson County,Louisville area's only community-wide emergency food provider. Partners with 320+ food pantries in 13 counties in Kentucky and Southern Indiana. Find a pantry near you at their website.,El único proveedor comunitario de alimentos de emergencia en el área de Louisville. Asociado con más de 320 despensas de alimentos en 13 condados de Kentucky y el sur de Indiana. Encuentre una despensa cerca de usted en su sitio web.,5803 Fern Valley Road,Louisville,(502) 966-3821,,https://daretocare.org,,
182,God's Pantry Food Bank — Lexington,Food & Nutrition,Lexington / Fayette County,Regional food bank serving 50 counties in Central and Eastern Kentucky. Find food assistance locations and programs through their website.,Banco de alimentos regional que atiende a 50 condados del centro y el este de Kentucky. Encuentre ubicaciones y programas de asistencia alimentaria a través de su sitio web.,1685 Jaggie Fox Way,Lexington,(859) 259-2308,,https://godspantry.org,,
183,Feeding America Kentucky's Heartland — Elizabethtown,Food & Nutrition,Elizabethtown / Hardin County,"Regional food bank serving 42 counties in central, southern, and western Kentucky. Use their site to find food resources in your county.","Banco de alimentos regional que atiende a 42 condados en el centro, sur y oeste de Kentucky. Use su sitio para encontrar recursos alimentarios en su condado.",313 Peterson Drive,Elizabethtown,(270) 769-6997,,https://feedingamericaky.org,,
184,Feeding America — Find a Food Bank,Food & Nutrition,Statewide,National locator to find food banks and pantries by zip code across all of Kentucky.,Localizador nacional para encontrar bancos de alimentos y despensas por código postal en todo Kentucky.,,,,,https://feedingamerica.org/find-your-local-foodbank,,
200,Kentucky Office of Vital Statistics — Birth Certificates,ID & Documentation,Statewide,"Order certified Kentucky birth certificates in person, by mail, or online through VitalChek. Required for obtaining a state ID or driver's license. Fee: $10 per certificate. In-person hours: 8am–3:30pm Monday–Friday.","Solicite certificados de nacimiento certificados de Kentucky en persona, por correo o en línea a través de VitalChek. Requerido para obtener una identificación estatal o licencia de conducir. Tarifa: $10 por certificado. Horario en persona: 8am–3:30pm de lunes a viernes.","275 East Main Street, 1E-A",Frankfort,(502) 564-4212,,https://vitalchek.com,VitalChek phone: 1-877-817-7362,
201,Kentucky Driver Licensing (DRIVE) — State ID,ID & Documentation,Statewide,State agency that issues Kentucky driver's licenses and state IDs. People leaving incarceration can use a Felon Release Letter from KDOC as a primary identity document when obtaining an ID. Visit any regional driver licensing office.,Agencia estatal que emite licencias de conducir e identificaciones estatales de Kentucky. Las personas que salen del encarcelamiento pueden usar una Carta de Liberación del KDOC como documento de identidad principal al obtener una identificación. Visite cualquier oficina regional de licencias de conducir.,,,(502) 564-1257,,https://drive.ky.gov,,
202,Kentucky Driver Licensing — License Reinstatement,ID & Documentation,Statewide,"Standard reinstatement fee is $40 (certified check/money order payable to 'Kentucky State Treasurer' or pay by phone with debit/credit card). Paying the fee alone does not restore privileges — all suspension conditions (court orders, DUI classes, ignition interlock) must also be satisfied.","La tarifa estándar de restablecimiento es de $40 (cheque certificado/giro postal pagadero al 'Kentucky State Treasurer' o pague por teléfono con débito/crédito). Pagar la tarifa sola no restaura los privilegios; también deben cumplirse todas las condiciones de suspensión (órdenes judiciales, clases de DUI, dispositivo interbloqueo).",,,(502) 564-1257,,https://drive.ky.gov/Drivers/Pages/License%20Reinstatement.aspx,Pay by phone with debit/credit: (502) 564-1257,
203,Social Security Administration — Louisville,ID & Documentation,Louisville / Jefferson County,Apply for or replace a Social Security card. Required for employment and most benefits. Hours: Monday–Friday 9am–4pm.,"Solicite o reemplace una tarjeta del Seguro Social. Requerida para el empleo y la mayoría de los beneficios. Horario: lunes a viernes, 9am–4pm.","601 West Broadway, Room 101",Louisville,(866) 716-9671,,https://ssa.gov,,
204,Social Security Administration — Lexington,ID & Documentation,Lexington / Fayette County,SSA field office serving Fayette County and Central Kentucky. Replace Social Security card and apply for benefits. Hours: Monday–Friday 9am–4pm.,"Oficina de campo de la SSA que atiende al Condado de Fayette y el centro de Kentucky. Reemplace la tarjeta del Seguro Social y solicite beneficios. Horario: lunes a viernes, 9am–4pm.","2241 Buena Vista Road, Suite 110",Lexington,(866) 530-7754,,https://ssa.gov,,
205,Social Security Administration — Locate an Office,ID & Documentation,Statewide,Find the nearest SSA office anywhere in Kentucky. A Social Security card is needed to obtain a driver's license or state ID and for employment.,Encuentre la oficina de la SSA más cercana en cualquier parte de Kentucky. Se necesita una tarjeta del Seguro Social para obtener una licencia de conducir o identificación estatal y para el empleo.,,,1-800-772-1213,,https://ssa.gov/locator,,
220,LIHEAP — Utility Assistance (Community Action Kentucky),Financial Assistance,Statewide,"Low Income Home Energy Assistance Program administered through local Community Action Agencies in all 120 Kentucky counties. Helps with heating, cooling, and crisis utility bills for low-income households.","Programa de Asistencia de Energía para Hogares de Bajos Ingresos administrado a través de Agencias de Acción Comunitaria local en los 120 condados de Kentucky. Ayuda con facturas de servicios públicos de calefacción, refrigeración y crisis para hogares de bajos ingresos.",,,1-800-456-3452,,https://capky.org,Call to find your local Community Action office,
221,Northern Kentucky Community Action Commission (NKCAC),Financial Assistance,Northern Kentucky,"Administers LIHEAP and other financial assistance programs in Northern Kentucky. Also provides early childhood education, job training, adult education, and crisis assistance.","Administra LIHEAP y otros programas de asistencia financiera en el norte de Kentucky. También proporciona educación temprana de la infancia, capacitación laboral, educación para adultos y asistencia en crisis.",717 Madison Avenue,Covington,(859) 581-6607,,https://nkcac.org,LIHEAP line: (859) 655-2959,
222,kynect — KTAP & Financial Assistance,Financial Assistance,Statewide,"Apply for Kentucky Transitional Assistance Program (KTAP cash assistance), Child Care Assistance Program, and other financial benefits through the state kynect portal.","Solicite el Programa de Asistencia Transitoria de Kentucky (asistencia en efectivo KTAP), el Programa de Asistencia para el Cuidado de Niños y otros beneficios financieros a través del portal estatal kynect.",,,1-855-306-8959,,https://kynect.ky.gov,,
223,211 Kentucky — Crisis Resource Navigation,Financial Assistance,Statewide,"Dial 2-1-1 or text your zip code to 898-211 to connect with a local specialist who can find emergency financial assistance, food, housing, and other community resources in your area of Kentucky. Available 24/7.","Marque 2-1-1 o envíe un mensaje de texto con su código postal al 898-211 para conectarse con un especialista local que pueda encontrar asistencia financiera de emergencia, alimentos, vivienda y otros recursos comunitarios en su área de Kentucky. Disponible las 24 horas.",,,211,,https://211.org,,
224,Bank On Louisville — Second-Chance Banking,Financial Assistance,Louisville / Jefferson County,"City program connecting residents — including those with ChexSystems history from past banking problems — to certified low-cost, low-fee checking accounts at mainstream financial institutions. Participating banks include Bank of America, Chase, Fifth Third, PNC, US Bank, and others. No overdraft fees, $5 or less per month.","Programa de la ciudad que conecta a los residentes, incluidos aquellos con historial en ChexSystems por problemas bancarios pasados, con cuentas corrientes certificadas de bajo costo en instituciones financieras convencionales. Los bancos participantes incluyen Bank of America, Chase, Fifth Third, PNC, US Bank y otros. Sin cargos por sobregiro, $5 o menos por mes.",,,(502) 574-1969,bankonlouisville@louisvilleky.gov,https://bankonlouisville.org,,
225,Commonwealth Credit Union — 20/20 Checking,Financial Assistance,Lexington / Fayette County,Second-chance checking account for people with negative banking history. Based in Lexington and serving Central Kentucky. Provides a fresh start for those who have been turned away by traditional banks.,"Cuenta corriente de segunda oportunidad para personas con historial bancario negativo. Con sede en Lexington, atendiendo al centro de Kentucky. Proporciona un nuevo comienzo para quienes han sido rechazados por bancos tradicionales.",,Lexington,,,https://ccuky.org,,
240,Transit Authority of River City (TARC) — Louisville,Transportation,Louisville / Jefferson County,"Public bus transit for Louisville and Jefferson County. 24 routes serving 3,458+ stops. Primary transportation option for people without vehicles in Louisville.","Transporte público en autobús para Louisville y el Condado de Jefferson. 24 rutas que atienden más de 3,458 paradas. Principal opción de transporte para personas sin vehículo en Louisville.",1000 West Broadway,Louisville,(502) 585-1234,,https://ridetarc.org,,
241,Lextran — Lexington Public Transit,Transportation,Lexington / Fayette County,"Public bus system serving Lexington and Fayette County. Operates 7 days a week, 5am–midnight. Hub at Lexington Transit Center, 220 East Vine Street.","Sistema de autobús público que atiende a Lexington y el Condado de Fayette. Opera 7 días a la semana, de 5am a medianoche. Centro en la Terminal de Tránsito de Lexington, 220 East Vine Street.",200 West Loudon Avenue,Lexington,(859) 253-4636,,https://lextran.com,,
242,TANK — Transit Authority of Northern Kentucky,Transportation,Northern Kentucky,"Public transit serving Boone, Kenton, and Campbell counties in Northern Kentucky with connections to Cincinnati.","Transporte público que atiende a los condados de Boone, Kenton y Campbell en el norte de Kentucky con conexiones a Cincinnati.",,Covington,,,https://tankbus.org,,
260,Kentucky Child Support Services — Attorney General,Family & Children,Statewide,"As of July 1, 2025, Kentucky's child support program is administered by the Office of Attorney General. Handles child support orders, modification, enforcement, and payment tracking statewide.","A partir del 1 de julio de 2025, el programa de manutención de menores de Kentucky es administrado por la Oficina del Fiscal General. Maneja órdenes de manutención de menores, modificaciones, ejecución y seguimiento de pagos en todo el estado.",,,1-800-248-1163,,https://kentuckychildsupport.ky.gov,,
261,Louisville Metro Child Support Division,Family & Children,Louisville / Jefferson County,Child support services for Jefferson County residents. Hours: Monday–Friday 8:30am–4:30pm.,"Servicios de manutención de menores para residentes del Condado de Jefferson. Horario: lunes a viernes, 8:30am–4:30pm.","1930 Bishop Lane, Suite 100",Louisville,(502) 574-8300,,,,
262,KVC Kentucky — Family Reunification Services,Family & Children,Statewide,"Nonprofit providing Family First Prevention and Reunification Services to help families stay together and reunify children who have been removed. Serves more than 12,000 children and families annually in eight Kentucky regions.","Organización sin fines de lucro que proporciona Servicios de Preservación y Reunificación Familiar para ayudar a las familias a permanecer juntas y reunificar a los niños que han sido separados. Atiende a más de 12,000 niños y familias anualmente en ocho regiones de Kentucky.",2250 Thunderstick Drive,Lexington,(859) 254-1035,,https://kentucky.kvc.org,,
263,Center for Women and Families — Louisville,Family & Children,Louisville / Jefferson County,24/7 trauma-informed advocacy and support for individuals and families affected by intimate partner violence and sexual assault. 24/7 crisis advocates and emergency shelter available. Highly relevant for women leaving incarceration with a history of domestic violence.,Defensa y apoyo informado sobre trauma disponible las 24 horas para personas y familias afectadas por violencia de pareja íntima y agresión sexual. Defensores de crisis y refugio de emergencia disponibles las 24 horas. Muy relevante para mujeres que salen del encarcelamiento con historial de violencia doméstica.,927 South 2nd Street,Louisville,(502) 581-7222,,https://thecenteronline.org,,
280,Reflections of Hope,Peer Support,Statewide,Organization operating inside the justice system providing certification programs and peer support to prepare individuals for reentry and reduce recidivism. Offers Adult Peer Support Specialist training certified in both Kentucky and Ohio.,Organización que opera dentro del sistema judicial que proporciona programas de certificación y apoyo entre pares para preparar a las personas para la reinserción y reducir la reincidencia. Ofrece capacitación de Especialista en Apoyo entre Pares para Adultos certificada en Kentucky y Ohio.,,,,,https://reflecthope.org,,
281,EKCEP — Peer Recovery Coaches (Eastern KY),Peer Support,Eastern Kentucky,"Provides peer-informed recovery and reentry services in 23 Appalachian counties through the SITE program. Recovery coaches connect justice-involved individuals with workforce services, benefits, and community supports.","Proporciona servicios de recuperación y reinserción informados por pares en 23 condados del Apalache a través del programa SITE. Los entrenadores de recuperación conectan a las personas involucradas con el sistema de justicia con servicios de empleo, beneficios y apoyos comunitarios.",,Hazard,(606) 436-5751,,https://ekcep.org/recovery,,
282,Baptist Fellowship Center — Reentry Mentor Program,Peer Support,Louisville / Jefferson County,Works with the Kentucky Department of Corrections to identify and train reentry mentors who assist people reintegrating after incarceration. Faith-based community support and accountability.,Trabaja con el Departamento de Correcciones de Kentucky para identificar y capacitar a mentores de reinserción que ayuden a las personas a reintegrarse después del encarcelamiento. Apoyo comunitario de base religiosa y responsabilidad.,1351 Catalpa Street,Louisville,(502) 774-2734,bfc@bfcenter.org,https://bfcenterky.org,,
283,NA / Narcotics Anonymous — Kentucky,Peer Support,Statewide,"Free peer support meetings for people in recovery from addiction. Meetings available across all Kentucky counties, including in-person and online options. No dues or fees.","Reuniones gratuitas de apoyo entre pares para personas en recuperación de la adicción. Reuniones disponibles en todos los condados de Kentucky, incluidas opciones en persona y en línea. Sin cuotas ni tarifas.",,,,,https://naky.org,Meeting finder: naky.org/find-a-meeting,
284,AA / Alcoholics Anonymous — Kentucky,Peer Support,Statewide,Free peer support meetings for people in recovery from alcohol use. Meetings available statewide including online options. No dues or fees.,"Reuniones gratuitas de apoyo entre pares para personas en recuperación del uso de alcohol. Reuniones disponibles en todo el estado, incluidas opciones en línea. Sin cuotas ni tarifas.",,,,,https://aa-ky.org,,
300,KCTCS — Adult Education & GED (Statewide),Education,Statewide,"Kentucky Community and Technical College System administers free GED preparation and testing statewide through 13 college providers. GED testing fees waived for first-time test takers in Kentucky. Classes held in communities, jails, and prisons. Over 4,460 GEDs awarded to incarcerated individuals 2020–2024.","El Sistema de Colegios Comunitarios y Técnicos de Kentucky administra la preparación gratuita para el GED y pruebas en todo el estado a través de 13 proveedores universitarios. Las tarifas de las pruebas del GED son exoneradas para los primeros solicitantes en Kentucky. Clases impartidas en comunidades, cárceles y prisiones. Más de 4,460 GEDs otorgados a personas encarceladas de 2020 a 2024.",,,,,https://kctcs.edu/education-training/initiatives/adult-education.aspx,Contact your local KCTCS college to find the nearest program,
301,Bluegrass Community & Technical College — Adult Education,Education,Lexington / Fayette County,"Free GED preparation classes for adults in Central Kentucky. In-person and online options available. Serves Fayette, Bourbon, Clark, Harrison, Jessamine, Mercer, Scott, and Woodford counties.","Clases gratuitas de preparación para el GED para adultos en el centro de Kentucky. Opciones en persona y en línea disponibles. Atiende a los condados de Fayette, Bourbon, Clark, Harrison, Jessamine, Mercer, Scott y Woodford.",,Lexington,(859) 246-6806,BCTCAdultEd@kctcs.edu,https://bluegrass.kctcs.edu/education-training/adult-education,,
302,Gateway Community & Technical College — Adult Education,Education,Northern Kentucky,"Free GED preparation classes in Northern Kentucky. Serves Boone, Kenton, Campbell, Grant, Owen, and surrounding counties.","Clases gratuitas de preparación para el GED en el norte de Kentucky. Atiende a los condados de Boone, Kenton, Campbell, Grant, Owen y circundantes.",500 Technology Way,Florence,(859) 442-1695,,https://gateway.kctcs.edu/commons/adult-education.aspx,,
303,South Central KY CTC (SKYCTC) — Adult Education,Education,Bowling Green / Warren County,"Free GED preparation classes serving Warren, Barren, Simpson, and Metcalfe counties in south-central Kentucky.","Clases gratuitas de preparación para el GED que atienden a los condados de Warren, Barren, Simpson y Metcalfe en el centro-sur de Kentucky.",,Bowling Green,(270) 901-1017,,https://southcentral.kctcs.edu/workforce-solutions/adult-education,,
304,Kentucky Adult Education — Find a Program,Education,Statewide,"Find free adult education (GED, literacy, ESL, workforce skills) programs across all 120 Kentucky counties through the state's adult education locator.","Encuentre programas gratuitos de educación para adultos (GED, alfabetización, ESL, habilidades laborales) en los 120 condados de Kentucky a través del localizador de educación para adultos del estado.",,,,,https://adulted.ky.gov,,
400,Robley Rex VA Medical Center — Louisville,Veterans,Louisville / Jefferson County,"Full-service VA hospital serving Louisville-area veterans. Includes substance use treatment, mental health, primary care, and Veterans Justice Outreach services for justice-involved veterans. Open 24/7.","Hospital del VA de servicio completo que atiende a veteranos del área de Louisville. Incluye tratamiento de uso de sustancias, salud mental, atención primaria y servicios de Alcance de Justicia para Veteranos. Abierto las 24 horas.",800 Zorn Avenue,Louisville,(502) 287-4000,,https://va.gov/louisville-health-care,,
401,Louisville VA — Veterans Justice Outreach (VJO),Veterans,Louisville / Jefferson County,"Four VJO coordinators embedded at the Robley Rex VA work directly with courts, jails, and probation/parole to connect justice-involved veterans to VA services. Ask for Mental Health/VJO when calling.","Cuatro coordinadores de VJO integrados en el VA Robley Rex trabajan directamente con tribunales, cárceles y libertad condicional/vigilada para conectar a los veteranos involucrados con el sistema de justicia con los servicios del VA. Solicite Salud Mental/VJO al llamar.",800 Zorn Avenue,Louisville,(502) 287-4000,,https://va.gov/louisville-health-care,VJO emails: sonny.hatfield@va.gov | scott.huisman@va.gov | dawne.james@va.gov | Keather.Likins@va.gov,
402,Lexington VA Medical Center,Veterans,Lexington / Fayette County,Full-service VA system for Central and Eastern Kentucky veterans. Located on Leestown and Sousley campuses.,Sistema del VA de servicio completo para veteranos del centro y el este de Kentucky. Ubicado en los campus Leestown y Sousley.,1101 Veterans Way,Lexington,(859) 281-4900,,https://va.gov/lexington-health-care,,
403,Lexington VA — Veterans Justice Outreach (VJO),Veterans,Lexington / Fayette County,VJO coordinators at the Lexington VA connect justice-involved veterans in Central and Eastern Kentucky to VA services through courts and jails.,Los coordinadores de VJO en el VA de Lexington conectan a los veteranos involucrados con el sistema de justicia en el centro y el este de Kentucky con los servicios del VA a través de tribunales y cárceles.,1101 Veterans Way,Lexington,(859) 281-4900,,,VJO emails: kathy.vasquez2@va.gov | janis.skilling@va.gov,
404,National Call Center for Homeless Veterans,Veterans,Statewide,"Free, confidential 24/7 hotline. Connects veterans leaving incarceration who need housing to the nearest VA homeless program. Critical first contact for veterans without a place to stay after release.","Línea de ayuda gratuita, confidencial y disponible las 24 horas. Conecta a los veteranos que salen del encarcelamiento y necesitan vivienda con el programa de vivienda para veteranos sin hogar del VA más cercano. Primer contacto esencial para veteranos sin un lugar donde quedarse después de la liberación.",,,1-877-424-3838,,https://va.gov/homeless,,
405,Veterans Crisis Line,Veterans,Statewide,"Free, confidential crisis support for veterans 24/7. Call or text 988 then press 1. Chat at veteranscrisisline.net.",Apoyo gratuito y confidencial en crisis para veteranos las 24 horas. Llame o envíe un mensaje de texto al 988 y luego presione 1. Chat en veteranscrisisline.net.,,,988 (press 1),,https://veteranscrisisline.net,,
406,Louisville Vet Center,Veterans,Louisville / Jefferson County,"Non-VA community setting offering counseling, PTSD treatment, MST support, reentry navigation, and job training — at no cost to veterans. Easier to access than a VA Medical Center.","Entorno comunitario no perteneciente al VA que ofrece asesoramiento, tratamiento de TEPT, apoyo por MST, orientación de reinserción y capacitación laboral, sin costo para los veteranos. Más fácil de acceder que un Centro Médico del VA.",1347 South Third Street,Louisville,1-877-927-8387,,https://va.gov/louisville-vet-center,Hours: Mon–Fri 8am–4:30pm. 24/7 crisis support at same number.,
407,Lexington Vet Center,Veterans,Lexington / Fayette County,"Counseling and reentry support in a non-clinical setting for veterans in Central Kentucky. Satellite locations in Corbin, Lawrenceburg, London, Mt. Sterling, and Richmond.","Asesoramiento y apoyo para la reinserción en un entorno no clínico para veteranos en el centro de Kentucky. Ubicaciones satélite en Corbin, Lawrenceburg, London, Mt. Sterling y Richmond.","1500 Leestown Road, Suite 104",Lexington,1-877-927-8387,,https://va.gov/lexington-vet-center,,
408,Louisville VA Regional Benefit Office,Veterans,Louisville / Jefferson County,"Handles disability claims, vocational rehabilitation (Chapter 31), education benefits, and employment assistance for veterans in Kentucky. Hours: Mon–Fri 8am–4pm.","Maneja reclamaciones de discapacidad, rehabilitación vocacional (Capítulo 31), beneficios educativos y asistencia para el empleo para veteranos en Kentucky. Horario: lunes a viernes, 8am–4pm.","321 West Main Street, Suite 390",Louisville,(800) 827-1000,,https://benefits.va.gov/louisville,Chapter 31 Voc Rehab: (502) 566-4453,
409,HUD-VASH — Housing Vouchers for Homeless Veterans,Veterans,Statewide,Pairs HUD rental vouchers with VA case management for homeless veterans. Access begins at the VA Medical Center. Louisville Metro Housing Authority administers vouchers locally. VOA Mid-States also administers SSVF (Supportive Services for Veterans and Families) in Kentucky.,Combina vales de alquiler HUD con gestión de casos del VA para veteranos sin hogar. El acceso comienza en el Centro Médico del VA. La Autoridad de Vivienda de Louisville Metro administra los vales localmente. VOA Mid-States también administra SSVF (Servicios de Apoyo para Veteranos y Familias) en Kentucky.,,,(502) 287-4000,,https://va.gov/homeless/hud-vash/,Louisville Metro Housing Authority: (502) 569-6060 | VOA SSVF: (502) 384-0868,
410,Kentucky Department of Veterans Affairs (KDVA),Veterans,Statewide,"State agency with 20 federally accredited VSOs statewide. Offers Veterans High School Diploma Program, Homeless Veterans Program, Women Veterans Program, and benefits assistance.","Agencia estatal con 20 representantes de servicios para veteranos acreditados federalmente en todo el estado. Ofrece el Programa de Diploma de Escuela Secundaria para Veteranos, Programa para Veteranos sin Hogar, Programa para Mujeres Veteranas y asistencia con beneficios.",1111B Louisville Road,Frankfort,(502) 564-9203,,https://veterans.ky.gov,,
411,VFW Department of Kentucky,Veterans,Statewide,"Free VA-accredited service officers help veterans file disability, pension, rehabilitation, and employment benefit claims. Post-level VSOs located throughout the state.","Oficiales de servicio acreditados por el VA gratuitos ayudan a los veteranos a presentar reclamaciones de discapacidad, pensión, rehabilitación y beneficios de empleo. Representantes locales ubicados en todo el estado.",3031 Poplar Level Road,Louisville,(502) 635-2638,vfwdeptky@gmail.com,https://vfwky.org,,
412,Kentucky American Legion,Veterans,Statewide,VSO network providing free claims assistance and benefits navigation for veterans statewide. Local posts throughout all 120 counties.,Red de representantes de servicios para veteranos que proporciona asistencia gratuita en reclamaciones y orientación en beneficios en todo el estado. Publicaciones locales en los 120 condados.,970 South 4th Street,Louisville,(502) 587-1414,,https://kylegion.org,,
430,Wayside Christian Mission — Louisville,Basic Needs,Louisville / Jefferson County,"Provides clothing, hygiene supplies, meals, and emergency shelter for men and women. Sober Living Recovery Program and Work Therapy Program also available. Accepts and distributes donated clothing and toiletries to clients.","Proporciona ropa, artículos de higiene, comidas y refugio de emergencia para hombres y mujeres. También disponible el Programa de Vida Sobria y el Programa de Terapia Laboral. Acepta y distribuye ropa donada y artículos de tocador a los clientes.",432 East Jefferson Street,Louisville,(502) 584-3711,,https://waysidechristianmission.org,,
431,St. Vincent de Paul — Louisville,Basic Needs,Louisville / Jefferson County,"Client-choice food pantry, Open Hand Kitchen, Ozanam Inn men's emergency shelter (58 beds, 24/7 case management), emergency financial assistance, and thrift stores selling affordable clothing and household items.","Despensa de alimentos de elección del cliente, Open Hand Kitchen, refugio de emergencia para hombres Ozanam Inn (58 camas, gestión de casos las 24 horas), asistencia financiera de emergencia y tiendas de segunda mano con ropa y artículos para el hogar asequibles.",1015-C South Preston Street,Louisville,(502) 584-2480,,https://svdplou.org,,
432,Dress for Success Louisville — Women's Clothing & Career Support,Basic Needs,Louisville / Jefferson County,"Professional attire, career coaching, and support services for women entering or re-entering the workforce. Referral required from a partner agency (Goodwill KY, Louisville Urban League, KY Career Centers, and others). Over 16,500 women served.","Ropa profesional, orientación profesional y servicios de apoyo para mujeres que ingresan o regresan al mercado laboral. Se requiere referencia de una agencia asociada (Goodwill KY, Louisville Urban League, KY Career Centers y otras). Más de 16,500 mujeres atendidas.",2722 Crittenden Drive LL200,Louisville,(502) 584-8050,louisville@dressforsuccess.org,https://louisville.dressforsuccess.org,Referral required from a partner agency,
450,Kentucky Division of Probation and Parole — Central Office,Probation & Parole,Frankfort / Franklin County,Oversees all probation and parole supervision across Kentucky. Contact for general questions or to be directed to your local district office.,Supervisa toda la supervisión de libertad condicional y vigilada en Kentucky. Comuníquese para preguntas generales o para que lo dirijan a su oficina de distrito local.,,Frankfort,(502) 782-2277,,https://corrections.ky.gov/Probation-and-Parole,,
451,Probation & Parole — Louisville (Jefferson County),Probation & Parole,Louisville / Jefferson County,Multiple P&P districts serve Jefferson County. Primary reporting location for most Louisville-area parolees and probationers.,Múltiples distritos de libertad condicional y vigilada atienden al Condado de Jefferson. Ubicación de reporte principal para la mayoría de los liberados condicionales y vigilados en el área de Louisville.,"410 West Chestnut Street, 7th Floor",Louisville,(502) 896-1775,,,,
452,Probation & Parole — Lexington (Fayette County),Probation & Parole,Lexington / Fayette County,District 9 probation and parole office serving Fayette County and surrounding area.,Oficina de libertad condicional y vigilada del Distrito 9 que atiende al Condado de Fayette y el área circundante.,2008 Mercer Road,Lexington,(859) 246-2177,,,,
453,Probation & Parole — Covington (Northern KY),Probation & Parole,Northern Kentucky,District 7 probation and parole office serving Kenton County and Northern Kentucky.,Oficina de libertad condicional y vigilada del Distrito 7 que atiende al Condado de Kenton y el norte de Kentucky.,"303 Court Street, Suite 706",Covington,(859) 292-6555,,,,
454,Probation & Parole — Bowling Green (Warren County),Probation & Parole,Bowling Green / Warren County,"District 3 probation and parole office serving Warren, Adair, Barren, Casey, Cumberland, and Metcalfe counties.","Oficina de libertad condicional y vigilada del Distrito 3 que atiende a los condados de Warren, Adair, Barren, Casey, Cumberland y Metcalfe.","140 Old Porter Pike, Unit #8",Bowling Green,(270) 746-7420,,,,
